empresa,site,cidade,telefone,ecra_esa_visto_na_busca,email,onde_o_email_estava,data_captura,nicho,nome_contato,status
Superior Power Electric,superiorpowerelectric.ca,Brampton,(647) 872-9954,7014710,,,,electrical,Shaun Pennant,candidato
APS Electric,apselectrical.ca,Brampton/Mississauga,(416) 456-0545,7007353,,,,electrical,,candidato
SiteTech Electrical,sitetechelectrical.com,Vaughan (Woodbridge),(647) 939-3239,,,,,electrical,,candidato
Moon Tech Electric,moontechelectric.ca,Markham,,,,,,electrical,,candidato
Kiyan Electric,kiyanelectric.ca,Richmond Hill/Aurora,,,,,,electrical,,candidato
Hotwire Power Group,hotwire-electric.com,Toronto/Vaughan,,,,,,electrical,,candidato
LK Electric,lkelectricinc.com,Scarborough,(416) 505-1115,,,,,electrical,,candidato
Hi-Lite Electric,hi-liteelectricinc.ca,Scarborough,(416) 800-5536,,,,,electrical,,candidato
Toro Electric,toroelectric.ca,Toronto/Etobicoke,,,,,,electrical,,candidato
Captain Electric,captainelectric.ca,Scarborough/Ajax,905-683-4195,,,,,electrical,,candidato
R.A. Graham Contractors,ragraham.ca,Vaughan,,,,,,electrical,,candidato
Canadian Wire Wizards,canadianwirewizards.ca,Mississauga,,,,,,electrical,,candidato
